model_name,subset_name,precision,recall,f1_score,mrr,true_positives,false_negatives,total_rows,correct_at_position
Llama2_L3,entire,0.485,0.485,0.485,0.4475,97,103,200,"{1: 84, 2: 7, 3: 6}"
Llama2_L3,0-2000,0.461538462,0.461538462,0.461538462,0.461538462,6,7,13,"{1: 6, 2: 0, 3: 0}"
Llama2_L3,2000-4000,0.471264368,0.471264368,0.471264368,0.409961686,41,46,87,"{1: 32, 2: 4, 3: 5}"
Llama2_L3,0-4000,0.47,0.47,0.47,0.416666667,47,53,100,"{1: 38, 2: 4, 3: 5}"
Llama2_L3,4000-8000,0.5,0.5,0.5,0.478333333,50,50,100,"{1: 46, 2: 3, 3: 1}"
Llama2_L2,entire,0.515,0.515,0.515,0.46,103,97,200,"{1: 84, 2: 10, 3: 9}"
Llama2_L2,0-2000,0.615384615,0.615384615,0.615384615,0.615384615,8,5,13,"{1: 8, 2: 0, 3: 0}"
Llama2_L2,2000-4000,0.551724138,0.551724138,0.551724138,0.507662835,48,39,87,"{1: 41, 2: 5, 3: 2}"
Llama2_L2,0-4000,0.56,0.56,0.56,0.521666667,56,44,100,"{1: 49, 2: 5, 3: 2}"
Llama2_L2,4000-8000,0.47,0.47,0.47,0.398333333,47,53,100,"{1: 35, 2: 5, 3: 7}"
Llama3_L3,entire,0.565,0.565,0.565,0.523333333,113,87,200,"{1: 97, 2: 14, 3: 2}"
Llama3_L3,0-2000,0.461538462,0.461538462,0.461538462,0.41025641,6,7,13,"{1: 5, 2: 0, 3: 1}"
Llama3_L3,2000-4000,0.563218391,0.563218391,0.563218391,0.53256705,49,38,87,"{1: 44, 2: 4, 3: 1}"
Llama3_L3,0-4000,0.55,0.55,0.55,0.516666667,55,45,100,"{1: 49, 2: 4, 3: 2}"
Llama3_L3,4000-8000,0.58,0.58,0.58,0.53,58,42,100,"{1: 48, 2: 10, 3: 0}"
Llama3_L2,entire,0.56,0.56,0.56,0.524166667,112,88,200,"{1: 99, 2: 9, 3: 4}"
Llama3_L2,0-2000,0.615384615,0.615384615,0.615384615,0.538461538,8,5,13,"{1: 6, 2: 2, 3: 0}"
Llama3_L2,2000-4000,0.563218391,0.563218391,0.563218391,0.528735632,49,38,87,"{1: 44, 2: 2, 3: 3}"
Llama3_L2,0-4000,0.57,0.57,0.57,0.53,57,43,100,"{1: 50, 2: 4, 3: 3}"
Llama3_L2,4000-8000,0.55,0.55,0.55,0.518333333,55,45,100,"{1: 49, 2: 5, 3: 1}"
